2020-03-07 17:05:29,842: 'a':
2020-03-07 17:05:30,018: 's':
2020-03-07 17:05:30,306: 's':
2020-03-07 17:05:30,322: 'd':
2020-03-07 17:05:30,738: 'a':
2020-03-07 17:05:30,906: 's':
2020-03-07 17:05:31,010: 'd':
2020-03-07 17:05:32,449: 'a':
2020-03-07 17:05:33,874: Key.backspace:
2020-03-07 17:05:45,217: 'a':
2020-03-07 17:05:45,570: 's':
2020-03-07 17:05:45,719: 'd':
2020-03-07 17:05:45,928: 'a':
2020-03-07 17:05:46,138: 's':
2020-03-07 17:05:46,162: 'd':
2020-03-07 17:05:46,602: 'a':
2020-03-07 17:05:46,650: 's':
2020-03-07 17:05:46,778: 'd':
2020-03-07 17:05:48,681: Key.backspace:
2020-03-07 17:05:48,969: Key.backspace:
2020-03-07 17:05:49,158: Key.backspace:
2020-03-07 17:05:49,346: Key.backspace:
2020-03-07 17:05:49,553: Key.backspace:
2020-03-07 17:05:49,746: Key.backspace:
2020-03-07 17:05:49,939: Key.backspace:
2020-03-07 17:05:50,169: Key.backspace:
2020-03-07 17:05:50,698: Key.backspace:
2020-03-07 17:05:51,514: Key.shift_r:
2020-03-07 17:05:51,721: 'P':
2020-03-07 17:05:51,938: 'a':
2020-03-07 17:05:52,073: 's':
2020-03-07 17:05:52,402: 's':
2020-03-07 17:05:52,809: 'w':
2020-03-07 17:05:53,177: 'o':
2020-03-07 17:05:53,266: 'r':
2020-03-07 17:05:53,825: 'd':
2020-03-07 17:05:53,953: Key.space:
2020-03-07 17:05:54,209: 'n':
2020-03-07 17:05:54,698: 'e':
2020-03-07 17:05:54,801: 'r':
2020-03-07 17:05:55,090: 'd':
2020-03-07 17:05:55,098: 'f':
2020-03-07 17:05:56,081: Key.backspace:
2020-03-07 17:05:56,321: Key.backspace:
2020-03-07 17:05:56,537: Key.backspace:
2020-03-07 17:05:56,738: Key.backspace:
2020-03-07 17:05:56,938: Key.backspace:
2020-03-07 17:05:57,129: Key.backspace:
2020-03-07 17:05:57,329: Key.backspace:
2020-03-07 17:05:57,521: Key.backspace:
2020-03-07 17:05:57,705: Key.backspace:
2020-03-07 17:05:57,905: Key.backspace:
2020-03-07 17:05:58,114: Key.backspace:
2020-03-07 17:05:58,361: Key.backspace:
2020-03-07 17:05:58,729: Key.backspace:
2020-03-07 17:05:59,177: Key.esc:
2020-03-07 17:06:13,185: Key.ctrl_l:
2020-03-07 17:06:13,305: Key.shift:
2020-03-07 17:06:13,417: Key.esc:
2020-03-07 17:06:23,786: 's':
2020-03-07 17:06:23,978: 'd':
2020-03-07 17:06:24,286: 'f':
